Ad group,Keyword,Status,Max. CPC,Impressions,Avg. position,Clicks,CTR,Avg. CPC,Match type,Cost,Conversions,Cost / conv.,Conv. rate,Search Impr. share,Search Lost IS (rank),Quality score
Davinci Surgery,+davinci +robotic +hysterectomy,eligible,6,6,1.7,0,0.00%,0,Broad,0,0,0,0.00%,85.71%,14.29%,3
Nutrition,+nutrition +counseling,eligible,6,10,1.9,0,0.00%,0,Broad,0,0,0,0.00%,66.67%,20.00%,3
Nutrition,+personal +nutrition +plans,eligible,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Outpatient Clinics,+medical +outpatient +clinics +near +me,low search volume,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Pharmacy Clinics,+pharmacy +clinics +indiana,low search volume,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Rankings,+top +40 +doctors +in +indiana,low search volume,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Smoking,+stop +smoking +indiana,eligible,6,6,2.8,0,0.00%,0,Broad,0,0,0,0.00%,85.71%,0.00%,6
Hospital,+indianapolis +in +hospital,eligible,6,43,1.3,1,2.33%,2.62,Broad,2.62,1,2.62,100.00%,68.25%,31.75%,5
Surgeon,+best +neurosurgery +indianapolis,low search volume,4,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Rankings,+top +100 +cancer +hospitals,eligible,6,1,2,0,0.00%,0,Broad,0,0,0,0.00%,100.00%,0.00%,--
Surgeon,+best +heart +surgeon +indianapolis +indiana,low search volume,4,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Nutrition,+nutrition +and +wellness,eligible,6,51,1.8,2,3.92%,2.5,Broad,5,0,0,0.00%,80.95%,15.87%,5
Symptom Checker,+advice +for +medical +symptoms,low search volume,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Smoking,+how +does +smoking +affect +your +body,eligible,6,2,2,0,0.00%,0,Broad,0,0,0,0.00%,66.67%,0.00%,3
Rankings,+top +hospitals +in +indiana,eligible,6,2,1.5,0,0.00%,0,Broad,0,0,0,0.00%,11.11%,0.00%,5
Minimally Invasive Surgery,+hernia +repair,eligible,6,119,1.4,4,3.36%,3.56,Broad,14.22,0,0,0.00%,48.97%,13.99%,5
Nutrition,+nutrition +programs,below first page bid (First page cpc : 8.78),6,20,2.7,0,0.00%,0,Broad,0,0,0,0.00%,23.81%,11.90%,3
Smoking,+stop +smoking +facts,eligible,6.00,1,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Minimally Invasive Surgery,+hiatal +hernia +surgery,eligible,6.00,64,1.7,6,9.38%,2.26,Broad,13.57,0.0,0.00,0.00%,95.52%,1.49%,5
Rankings,+top +docs +indianapolis,eligible,6.00,7,1.0,1,14.29%,3.28,Broad,3.28,0.0,0.00,0.00%,50.00%,0.00%,3
Smoking,+quitting +smoking +timeline,eligible,6.00,29,3.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,96.67%,3.33%,7
Pharmacy Clinics,+indiana +pharmacy +clinic,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,33.33%,--
Symptom Checker,+check +symptoms,eligible,6.00,930,1.0,114,12.26%,0.50,Broad,57.15,0.0,0.00,0.00%,99.79%,0.21%,7
Davinci Surgery,+da +vinci +robot,eligible,6.00,47,1.4,3,6.38%,2.59,Broad,7.78,0.0,0.00,0.00%,64.38%,4.11%,3
Hospital,+hospitals +indiana,eligible,6.00,320,1.2,9,2.81%,2.47,Broad,22.23,9.0,2.47,100.00%,46.72%,50.51%,--
Rankings,+top +ten +hospitals,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Surgeon,top 5 +neurosurgeons in us,eligible,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+hysterectomy +robotic,eligible,6.00,13,1.4,2,15.38%,4.12,Broad,8.25,0.0,0.00,0.00%,92.86%,7.14%,--
Smoking,+smoking +cessation +effects,eligible,6.00,4,2.3,1,25.00%,5.86,Broad,5.86,0.0,0.00,0.00%,100.00%,0.00%,--
Hospital,+hospitals +of +indianapolis,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,--
Clinic,+medical +clinic +indianapolis,below first page bid (First page cpc : 7.00),6.00,6,2.2,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,33.33%,5
Davinci Surgery,+robotic +hysterectomy +procedure,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Davinci Surgery,+da +vinci +surgery +robot,eligible,6.00,4,1.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,7
Hospital,+indiana +hospitals,eligible,6.00,342,1.2,7,2.05%,2.25,Broad,15.78,15.0,1.05,214.29%,16.34%,18.92%,6
Rankings,+best +orthopedic +surgeon +in +indiana,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Smoking,+quit +smoking +cold +turkey,below first page bid (First page cpc : 9.36),6.00,1,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,25.00%,75.00%,5
Rankings,+doctors +ratings,eligible,6.00,34,1.5,1,2.94%,0.91,Broad,0.91,0.0,0.00,0.00%,72.34%,4.26%,5
Symptom Checker,+my +symptoms,eligible,6.00,187,1.0,28,14.97%,0.51,Broad,14.23,0.0,0.00,0.00%,95.90%,2.05%,6
Smoking,+side +effects +of +quitting +smoking,eligible,6.00,7,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,77.78%,22.22%,4
Clinical Trials,+indianapolis +clinical +trials,eligible,6.00,9,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Smoking,+stop +smoking +aid,eligible,6.00,25,3.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,10.25%,88.11%,--
Surgeon,+midwest +specialty +surgery +center +surgery +centers +indianapolis +in,low search volume,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+nicotine +withdrawal,eligible,6.00,52,2.8,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,40.00%,32.31%,7
Clinical Trials,+clinical +trials +indiana,eligible,6.00,38,1.2,10,26.32%,1.49,Broad,14.88,1.0,14.88,10.00%,95.00%,2.50%,8
Rankings,+doctor +ratings +indiana,low search volume,6.00,3,2.0,1,33.33%,2.15,Broad,2.15,4.0,0.54,400.00%,18.75%,0.00%,--
Smoking,+ways +to +quit +smoking +cigarettes,eligible,6.00,4,3.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,6
Smoking,+stop +smoking +benefits,eligible,6.00,3,4.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,75.00%,25.00%,5
Minimally Invasive Surgery,+hiatal +hernia +esophagus +spasm,eligible,6.00,2,4.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Minimally Invasive Surgery,+laparoscopic +surgery +hiatal +hernia +surgical +repair,eligible,6.00,4,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Rankings,+top +hospitals +in +indianapolis,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Surgeon,neurosurgeons in indiana,eligible,3.00,4017,2.5,178,4.43%,0.51,Broad,90.42,409.0,0.22,229.78%,56.63%,42.07%,6
Rankings,+rate +your +doctor,eligible,6.00,4,1.8,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,16.67%,3
Symptom Checker,+symptom +checker,eligible,6.00,4664,1.0,716,15.35%,0.34,Broad,245.07,5.0,49.01,0.70%,99.70%,0.17%,7
Rankings,+indiana +hospital +ratings,eligible,6.00,16,1.3,5,31.25%,1.54,Broad,7.70,0.0,0.00,0.00%,69.57%,4.35%,5
Nutrition,+nutritional +value,eligible,6.00,35,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,71.43%,20.41%,3
Clinic,+clinics +health,eligible,6.00,259,1.3,8,3.09%,2.82,Broad,22.55,0.0,0.00,0.00%,49.15%,50.09%,--
Clinical Trials,+clinical +studies,eligible,6.00,75,1.5,5,6.67%,1.66,Broad,8.29,0.0,0.00,0.00%,55.97%,11.94%,7
Minimally Invasive Surgery,+hiatal +hernia +treatment,eligible,6.00,20,1.7,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,80.00%,16.00%,3
Hospital,+indianapolis +hospital,eligible,6.00,235,1.1,12,5.11%,1.70,Broad,20.38,17.0,1.20,141.67%,73.90%,25.79%,5
Rankings,+best +hospitals +in +indiana,eligible,6.00,9,1.7,1,11.11%,4.73,Broad,4.73,0.0,0.00,0.00%,42.86%,0.00%,5
Hospital,+university +hospital,eligible,6.00,184,1.2,10,5.43%,1.67,Broad,16.69,12.0,1.39,120.00%,36.29%,20.71%,5
Symptom Checker,+web +diagnosis,eligible,6.00,10,1.0,2,20.00%,0.54,Broad,1.09,0.0,0.00,0.00%,58.82%,11.76%,3
Outpatient Clinics,+outpatient +clinics,eligible,6.00,10,1.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,58.82%,11.76%,7
Smoking,+stop +smoking +tips,eligible,6.00,3,5.7,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,75.00%,25.00%,6
Nutrition,+health +facts,eligible,6.00,38,1.3,1,2.63%,1.09,Broad,1.09,0.0,0.00,0.00%,23.03%,12.12%,8
Minimally Invasive Surgery,+hernia +hiatal,low quality score,6.00,313,1.8,7,2.24%,3.00,Broad,20.98,2.0,10.49,28.57%,64.80%,33.54%,1
Outpatient Clinics,+out +patient +clinics,eligible,6.00,67,1.3,1,1.49%,0.34,Broad,0.34,1.0,0.34,100.00%,84.81%,10.13%,5
Smoking,+how +to +quit +smoking +cigarettes,eligible,6.00,12,3.3,2,16.67%,3.42,Broad,6.84,0.0,0.00,0.00%,85.71%,7.14%,5
Davinci Surgery,+davinci +hysterectomy,eligible,6.00,15,1.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,75.00%,5.00%,3
Rankings,+top +indiana +hospitals,eligible,6.00,9,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Smoking,+help +for +quitting +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+rating +of +physicians,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+indiana +doctor +rankings,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Pharmacy Clinics,+pharmacy +clinics +near +me,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+indiana +outpatient +clinics,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+outpatient +clinic +in +indianapolis,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+quit +smoking +medical +programs,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+outpatient +clinics +in +indianapolis +in,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Pharmacy Clinics,+indiana +pharmacy +clinics,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Nutrition,+eating +for +health,eligible,6.00,98,1.5,1,1.02%,5.60,Broad,5.60,0.0,0.00,0.00%,36.43%,6.69%,5
Outpatient Clinics,+medical +outpatient +clinic +indianapolis,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Minimally Invasive Surgery,+bilateral +hernia +surgery,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,5
Smoking,+stop +smoking +timeline,eligible,6.00,3,3.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,9
Minimally Invasive Surgery,+inguinal +hernia +surgery,low quality score,6.00,18,1.4,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,32.73%,5.45%,1
Smoking,+stopping +smoking +side +effects,eligible,6.00,2,4.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Smoking,+how +smoking +affects +your +health,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Davinci Surgery,+da +vinci +robotic +prostatectomy,eligible,6.00,1,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Minimally Invasive Surgery,+surgery +for +hiatal +hernia,eligible,6.00,7,1.1,1,14.29%,0.62,Broad,0.62,0.0,0.00,0.00%,100.00%,0.00%,5
Smoking,+quit +smoking +patches,eligible,6.00,6,3.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,21.43%,78.57%,5
Symptom Checker,+symptom +checker +for +women,eligible,6.00,126,1.0,22,17.46%,0.23,Broad,5.07,0.0,0.00,0.00%,100.00%,0.00%,8
Hospital,+hospital +in +indianapolis +indiana,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Symptom Checker,+symptoms +& +diagnosis,eligible,6.00,4,1.0,1,25.00%,0.39,Broad,0.39,0.0,0.00,0.00%,100.00%,0.00%,--
Nutrition,+benefits +of +good +nutrition,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,50.00%,--
Smoking,+smoking +cessation +indiana,eligible,6.00,10,2.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,90.91%,0.00%,7
Surgeon,+find +a +surgeon,eligible,4.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Surgeon,+top +rated +neurosurgeons +in +indianapolis,low search volume,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+local +doctor +reviews,eligible,6.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,0.00%,5
Clinic,+health +clinic,eligible,6.00,80,1.3,3,3.75%,1.88,Broad,5.65,0.0,0.00,0.00%,47.34%,30.18%,7
Clinical Trials,+medical +research +studies,below first page bid (First page cpc : 7.83),6.00,9,1.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,69.23%,0.00%,7
Smoking,+effects +of +quitting +smoking,eligible,6.00,11,2.7,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,84.62%,15.38%,5
Davinci Surgery,+robotic +surgery +hysterectomy,eligible,6.00,6,1.3,1,16.67%,0.69,Broad,0.69,0.0,0.00,0.00%,66.67%,0.00%,--
Clinical Trials,+indiana +medical +research,eligible,6.00,2,1.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,20.00%,0.00%,--
Symptom Checker,+where +to +get +advice +for +medical +symptoms,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+smoking +cessation +tips,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+patient +reviews +for +doctors,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinical Trials,+mediccal +research +trials,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Hospital,+hospital +indiana,eligible,5.50,191,1.2,2,1.05%,2.73,Broad,5.46,6.0,0.91,300.00%,< 10%,6.67%,--
Nutrition,+importance +of +good +nutrition,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,50.00%,--
Davinci Surgery,+davinci +robotics +surgery,eligible,6.00,1,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Minimally Invasive Surgery,+laparoscopic +ventral +hernia +repair,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Minimally Invasive Surgery,+bilateral +hernia +repair,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,5
Davinci Surgery,+robotic +gallbladder +surgery,eligible,6.00,5,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,55.56%,0.00%,3
Smoking,+smoking +cessation +program,eligible,6.00,16,2.0,2,12.50%,1.28,Broad,2.55,0.0,0.00,0.00%,72.73%,9.09%,--
Clinical Trials,+research +studies +in +indianapolis,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,0.00%,6
Surgeon,+best +neurosurgeons,eligible,4.00,12,1.2,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,3
Hospital,+indiana +medical +university,eligible,6.00,44,1.1,12,27.27%,0.89,Broad,10.67,29.0,0.37,241.67%,63.77%,2.90%,4
Nutrition,+nutrition +and +health,eligible,6.00,53,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,57.61%,16.30%,7
Symptom Checker,+medical +information +online,eligible,6.00,3,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,75.00%,0.00%,--
Minimally Invasive Surgery,+minimally +invasive +surgery +techniques,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Clinic,+indianapolis +clinics,eligible,6.00,247,1.7,8,3.24%,2.59,Broad,20.73,1.0,20.73,12.50%,67.30%,31.06%,5
Smoking,+benefits +for +quitting +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinic,+clinic +in +indianapolis,eligible,6.00,37,1.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.07%,21.43%,3
Smoking,+get +help +to +quit +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+doctor +rating,eligible,6.00,14,1.2,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,13.33%,0.95%,--
Nutrition,+nutrition +health,below first page bid (First page cpc : 8.27),6.00,88,1.6,4,4.55%,1.16,Broad,4.62,1.0,4.62,25.00%,20.80%,9.93%,7
Surgeon,+beltway +surgery +center +carmel +in,below first page bid (First page cpc : 7.47),4.00,6,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,75.00%,25.00%,--
Health Services,+health +services,eligible,6.00,1056,1.6,15,1.42%,1.57,Broad,23.50,8.0,2.94,53.33%,30.10%,27.45%,7
Surgeon,+indiana +neurosurgeon,eligible,4.00,14,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,4.76%,--
Rankings,+doctor +ratings +and +reviews,eligible,6.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,0.00%,--
Rankings,+physician +ratings,eligible,6.00,15,1.3,1,6.67%,2.04,Broad,2.04,2.0,1.02,200.00%,44.12%,0.00%,6
Clinic,+health +clinics +indianapolis,below first page bid (First page cpc : 6.18),6.00,39,1.4,2,5.13%,2.40,Broad,4.80,0.0,0.00,0.00%,75.00%,25.00%,5
Rankings,+top +hospitals +indiana,eligible,6.00,9,1.0,1,11.11%,1.33,Broad,1.33,0.0,0.00,0.00%,81.82%,9.09%,6
Surgeon,+top +surgeons,eligible,4.00,34,1.8,3,8.82%,1.39,Broad,4.18,3.0,1.39,100.00%,100.00%,0.00%,3
Nutrition,+healthy +diet,eligible,6.00,385,1.7,19,4.94%,1.97,Broad,37.44,0.0,0.00,0.00%,36.84%,7.75%,3
Clinic,+24 +hour +medical +clinic,low quality score,6.00,5,1.8,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,1
Smoking,+what +happens +when +you +quit +smoking,eligible,6.00,32,3.2,1,3.12%,3.74,Broad,3.74,0.0,0.00,0.00%,91.43%,8.57%,5
Smoking,+smoking +cessation +guidelines,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,0.00%,4
Health Services,+health +services +IN,below first page bid (First page cpc : 6.80),6.00,80,1.9,2,2.50%,1.81,Broad,3.62,0.0,0.00,0.00%,49.08%,50.31%,--
Clinical Trials,+clinical +trials,eligible,6.00,420,1.8,18,4.29%,2.26,Broad,40.73,1.0,40.73,5.56%,59.91%,19.69%,7
Nutrition,+daily +nutrition,low quality score,6.00,33,1.3,1,3.03%,1.19,Broad,1.19,0.0,0.00,0.00%,49.25%,20.90%,2
Smoking,+ways +to +stop +smoking,eligible,6.00,19,4.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,11.45%,87.35%,5
Rankings,+doctor +ratings,eligible,6.00,27,1.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,49.09%,5.45%,3
Clinical Trials,+medical +test +volunteers +indianapolis,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+quit +smoking,eligible,8.00,235,3.3,9,3.83%,3.97,Broad,35.72,1.0,35.72,11.11%,35.34%,31.13%,8
Symptom Checker,+symptom +checker +and +care +guide,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinic,+clinic,eligible,6.00,2261,1.5,39,1.72%,2.54,Broad,99.08,13.0,7.62,33.33%,37.33%,43.96%,5
Outpatient Clinics,+indianapolis +health +outpatient +clinic,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Hospital,+hospital +within +indianapolis +in,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Surgeon,+vascular +surgeons +in +indianapolis,eligible,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Surgeon,+surgeons +in +bloomington +indiana,eligible,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Pharmacy Clinics,+indiana +retail +pharmacy +clinics,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+robotic +heart +valve +surgery,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+da +vinci +surgeons +locator,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Symptom Checker,+multiple +symptom +checker,eligible,6.00,52,1.1,14,26.92%,1.10,Broad,15.33,0.0,0.00,0.00%,100.00%,0.00%,6
Smoking,+smoking +cessation,eligible,7.00,73,2.2,2,2.74%,1.92,Broad,3.85,0.0,0.00,0.00%,54.89%,20.30%,7
Symptom Checker,+what +are +my +symptoms,eligible,6.00,10,1.0,1,10.00%,1.65,Broad,1.65,0.0,0.00,0.00%,90.91%,0.00%,5
Smoking,+stop +smoking +cold +turkey,eligible,6.00,1,6.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,50.00%,8
Smoking,+smoking +effects,eligible,6.00,28,2.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,11.09%,10
Pharmacy Clinics,+pharmacy +clinic,eligible,6.00,59,1.4,1,1.69%,1.39,Broad,1.39,1.0,1.39,100.00%,39.07%,15.89%,7
Outpatient Clinics,+health +outpatient +clinics,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinic,+clinics +in +indianapolis +in,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+da +vinci +sacrocolpopexy,eligible,6.00,2,1.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,33.33%,--
Surgeon,+beltway +surgery +center +indianapolis +in,eligible,4.00,3,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Rankings,+top +doctors +within +indianapolis +in,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+aids +to +stop +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,--
